Time, Username, Tweet, Replies, Retweets, Likes, Language, urlStatus
20 Sep 2017,@BasitMitsubishi,"Open Indent
New Mitsubishi Xpander.
Next Generation MPV
Booking Now...!! Small MPV 7seat, Design… https://www.instagram.com/p/BW9DsSNlVW0/ ",0,0,0,,https://twitter.com/BasitMitsubishi/status/910644359833382912
20 Sep 2017,@Mitsubishi_ID,Mitsubishi Xpander is ready for the next level. Are you? pic.twitter.com/GgLvrZ9WsD,1,5,30,,https://twitter.com/Mitsubishi_ID/status/910428343656312832
19 Sep 2017,@MobilQ2,I added a video to a @YouTube playlist http://youtu.be/9yKqt5LjBPo?a  2018 Mitsubishi Xpander - How To Choose The Best SUV Car,0,0,0,,https://twitter.com/MobilQ2/status/910374083170357248
19 Sep 2017,@H2HATDC,I added a video to a @YouTube playlist http://youtu.be/kD8sinSDibA?a  Head2Head #132 Honda MOBILIO RS vs Mitsubishi XPANDER,0,0,0,,https://twitter.com/H2HATDC/status/910265746130956289
18 Sep 2017,@bosowa_berlian,"Bring your life to the next level with Your Next Generation MPV, Mitsubishi Xpander!

#Mitsubishi #saatnyaUPGRADE #YourNextGenerationMPVpic.twitter.com/YibO1D3qNu",0,0,0,,https://twitter.com/bosowa_berlian/status/909762307760168961
13 Sep 2017,@mitsubishibmm,"Your Next Generation MPV

Mitsubishi Xpander Palembang
Dealer Resmi Mitsubishi
Cover area… https://www.instagram.com/p/BY_EqzagI_U/ ",0,0,1,,https://twitter.com/mitsubishibmm/status/907982892457803777
7 Sep 2017,@irfan2pac,"2018 Mitsubishi Xpander exterior, interior, engine, on the road: http://youtu.be/YuMAmTn8d2Q?a  via @YouTube",0,0,0,,https://twitter.com/irfan2pac/status/905702015363416064
5 Sep 2017,@max_memo2000,"2017 Mitsubishi Xpander

I've just posted a new blog: 2017 Mitsubishi Xpander - #Mitsubishi #van #newcar http://ift.tt/2wFjPCL ",0,0,0,,https://twitter.com/max_memo2000/status/905152247264419840
5 Sep 2017,@AnnissaEka,I added a video to a @YouTube playlist http://youtu.be/L-enFutUY9c?a  Mitsubishi Xpander. Apakah layak dipasang Turbo?,0,0,0,,https://twitter.com/AnnissaEka/status/905062117786734593
5 Sep 2017,@AnnissaEka,I added a video to a @YouTube playlist http://youtu.be/SQJ9JorsKP8?a  Mitsubishi Xpander first impression review supported by FirewoodFX,0,0,0,,https://twitter.com/AnnissaEka/status/904967036006256640
3 Sep 2017,@AsmatMitsubishi,"New form Mitsubishi, XPANDER Info  please call me 081381097906 pic.twitter.com/fwRcktQEoW",0,0,0,,https://twitter.com/AsmatMitsubishi/status/904365003146268672
2 Sep 2017,@indianautos,#Mitsubishi #Xpander could be sold in Bolivia and Egypt http://bit.ly/2eQuAdE ,0,2,1,,https://twitter.com/indianautos/status/904153543430606848
31 Aug 2017,@PRio_Mitsubishi,"Hadiri Spesial Exhibition Xpander @ Central Park Mall 30 Agt s/d 1 Sept 2017
.
.
.
.
.
#mitsubishi #xpanderpic.twitter.com/uUxmpTfHft",0,0,0,,https://twitter.com/PRio_Mitsubishi/status/903222390259195904
29 Aug 2017,@DanielDoniHR,Will Mitsubishi Xpander become New King of Car in Indonesia? #Indonesia #Mitsubishi #Xpander #Otomotif #Automotive https://www.linkedin.com/pulse/mitsubishi-xpander-ready-become-king-car-indonesia-sundjojo?published=t …,0,0,1,,https://twitter.com/DanielDoniHR/status/902544497359314944
19 Aug 2017,@erlan_peetex,I liked a @YouTube video http://youtu.be/3-rXFdsApWQ?a  Mitsubishi Xpander Test Drive by AutonetMagz,0,0,0,,https://twitter.com/erlan_peetex/status/899116087861800961
19 Aug 2017,@rndarizona,Mitsubishi Xpander 2017 Indonesia | First Drive | OtoDriver http://fb.me/2cG7dhFdw ,0,0,0,,https://twitter.com/rndarizona/status/898850433698897920
18 Aug 2017,@antaranews,ANTARANEWS - Test Drive Mitsubishi Xpander varian Ultimate: http://youtu.be/10Gc6iOc0XY?a  via @YouTube,0,0,1,,https://twitter.com/antaranews/status/898760456344543232
14 Aug 2017,@sj_bagus,Saya suka video @YouTube http://youtu.be/uUCU7-DFKKg?a  Mitsubishi Xpander Next Generation MPV First Impression Review,0,0,0,,https://twitter.com/sj_bagus/status/897231013138640896
14 Aug 2017,@BetweenTheAxles,"2017 @Mitsubishi #Xpander has #DynamicShield face, 7 seats. Pics: http://bit.ly/2vy6FbS pic.twitter.com/hqdybbZiig",0,0,0,,https://twitter.com/BetweenTheAxles/status/897190491623706625
14 Aug 2017,@PalestineNewz,2018 Mitsubishi Xpander crossover-MPV world premiere http://bit.ly/2vwkM1d  #Palestine,0,0,0,,https://twitter.com/PalestineNewz/status/897051676556840960
14 Aug 2017,@jdesignz,Mitsubishi Xpander coming to Malaysia in 2018 – CEO http://ift.tt/2hYQWxK ,0,0,0,,https://twitter.com/jdesignz/status/897026869907861504
13 Aug 2017,@autogalaxy9,Mitsubishi Xpander 2017 |Interior and Exterior | The New MPV Car: http://youtu.be/r_DBvGSOIa8?a  via @YouTube,0,0,0,,https://twitter.com/autogalaxy9/status/896813000723660801
13 Aug 2017,@rayi_bismo_aji,First Drive & Impression Mitsubishi Xpander https://youtu.be/bBh_zDTcoR4 ,0,0,0,,https://twitter.com/rayi_bismo_aji/status/896760867777167360
13 Aug 2017,@EINToyotaNews,2018 Mitsubishi Xpander Looks Like It Came From Outer Space http://s.einnews.com/ngRQtcVDOG ,0,0,1,,https://twitter.com/EINToyotaNews/status/896672931224399872
12 Aug 2017,@BangNiko,I liked a @YouTube video http://youtu.be/bBh_zDTcoR4?a  Mitsubishi Xpander 2017 Indonesia | First Drive | OtoDriver,0,0,0,,https://twitter.com/BangNiko/status/896394928296779780
12 Aug 2017,@waykuyaa,I liked a @YouTube video http://youtu.be/SQJ9JorsKP8?a  Mitsubishi Xpander first impression review supported by FirewoodFX,0,0,0,,https://twitter.com/waykuyaa/status/896377611487776769
12 Aug 2017,@AutonetMagz,Mitsubishi Xpander first impression review supported by FirewoodFX: http://youtu.be/SQJ9JorsKP8?a  via @YouTube,1,0,3,,https://twitter.com/AutonetMagz/status/896362456896995328
11 Aug 2017,@Carscoop,All-New #Mitsubishi Xpander Debuts In Indonesia http://carscoo.ps/PdS3QS pic.twitter.com/Bv53lB0ag3,1,3,2,,https://twitter.com/Carscoop/status/896120837685653504
11 Aug 2017,@otodriver,Mitsubishi Xpander 2017 Indonesia | First Drive | OtoDriver: http://youtu.be/bBh_zDTcoR4?a  via @YouTube,0,0,3,,https://twitter.com/otodriver/status/896031459546456064
11 Aug 2017,@paula_anindia,Like and follow #bumenredjaabadi #Mitsubishi #Xpander #PajeroSport #OutlanderSport #FEColtDiesel #Fusopic.twitter.com/CIILKRUj9l,0,0,1,,https://twitter.com/paula_anindia/status/895949728118001664
11 Aug 2017,@autocarindiamag,2017 #Mitsubishi #Xpander #MPV makes its public debut at #GIIAS2017 >> http://ow.ly/sIix30ekAv7 pic.twitter.com/sWPaHuwwfG,1,8,29,,https://twitter.com/autocarindiamag/status/895937623759486976
10 Aug 2017,@paultan,"GIIAS 2017: Mitsubishi Xpander bodykit, accessories https://goo.gl/fb/oZ6ms9 ",2,2,0,,https://twitter.com/paultan/status/895889660768944130
10 Aug 2017,@JROSENBERG1,New video by CAR TV: 2018 Mitsubishi Xpander - interior Exterior and Drive https://youtu.be/RI3ATjEKz_w ,0,0,0,,https://twitter.com/JROSENBERG1/status/895786915970068480
10 Aug 2017,@paultan,"GIIAS 2017: Mitsubishi Xpander – production SUV-styled MPV makes world, Indonesian market… https://goo.gl/fb/1MrAfw ",0,2,0,,https://twitter.com/paultan/status/895575490894979072
9 Aug 2017,@indianautos,#Mitsubishi #Xpander (Mitsubishi Expander) variant-wise features leaked http://bit.ly/2viW1W2 ,0,1,1,,https://twitter.com/indianautos/status/895264810283278336
8 Aug 2017,@indianautos,"#Mitsubishi #Xpander (Mitsubishi Expander) with beige interior spotted inside-out
http://bit.ly/2uFcMXU 
#MitsubishiXpander",0,2,2,,https://twitter.com/indianautos/status/895148322842980354
3 Aug 2017,@autodealersa,New Nissan Livina rendered using the Mitsubishi Xpander >>> http://ow.ly/FjeH30e8jo9 pic.twitter.com/GLkQPyoZKj,0,0,1,,https://twitter.com/autodealersa/status/893054114099286016
28 Jul 2017,@cakdan,I liked a @YouTube video http://youtu.be/h_VtEkhlwFA?a  Review & Drive #1 In Depth of Mitsubishi Xpander (Modified Xpander Inside),0,0,0,,https://twitter.com/cakdan/status/891182709594365952
26 Jul 2017,@fullspecprice,Fitur Mitsubishi Xpander / XM Concept http://www.spesifikasiharga.net/fitur-mitsubishi-xpander-xm-concept/ …pic.twitter.com/b6zwxqEovs,0,0,0,,https://twitter.com/fullspecprice/status/890421688311087104
24 Jul 2017,@PRio_Mitsubishi,DESIGN MITSUBISHI XPANDER NEXT GENERATION MPV .. OPENT INDENT BOOKING NOW!!! only at Lautan… https://www.instagram.com/p/BW9LgLGAO_T/ ,0,0,0,,https://twitter.com/PRio_Mitsubishi/status/889702279573590016
24 Jul 2017,@Hardiansyah1303,"New Mitsubishi Xpander 1.5 cc
Opent Indent Booking Now 5JT
Mau...
087886770180
082112074040 pic.twitter.com/01WRWO5bGM",0,0,1,,https://twitter.com/Hardiansyah1303/status/889460163253477376
23 Jul 2017,@fadlyjamil,"all New Mitsubishi Xpander 2017..... Open Indent ... Now.. !!! 

WA, LINE : 0852560069823
BBM : 587C95B4
EMAIL : jamilfadly@gmail.com pic.twitter.com/FnhallnLaB",1,0,0,,https://twitter.com/fadlyjamil/status/889378779658723328
17 Jul 2017,@Hardiansyah1303,"Coming soon New Mitsubishi Xpander Small Mpv,Ayo Book Now Only 5jt'an.
Mau.....
Call me
087886770180
082112074040 pic.twitter.com/W5JqE1T0hN",0,0,0,,https://twitter.com/Hardiansyah1303/status/887147679251185664
13 Jul 2017,@PRio_Mitsubishi,"Mitsubishi Xpander (XM) Open Indent NOW !! Only at Lautan Berlian .
.
.
.
#xpander #xmconcept… https://www.instagram.com/p/BWe10lIg-fF/ ",0,0,3,,https://twitter.com/PRio_Mitsubishi/status/885432434505900032
11 Jul 2017,@DapurPacu,"Wuling Confero S Sudah Produksi, Mitsubishi Xpander Ketinggalan https://dapurpacu.com/345525/wuling-confero-s-sudah-produksi-mitsubishi-xpander-ketinggalan/ …pic.twitter.com/auF8gX64UO",0,1,1,,https://twitter.com/DapurPacu/status/884927194937610241
